District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Champion Local,Trumbull,129.5624248583803,94.8,151112.77219430485,40366.0,3.452386398596808,1211
Fayetteville-Perry Local,Brown,129.54697869421997,85.9,248083.18196884324,46714.5,2.232545852877479,718
Montpelier Exempted Village,Williams,129.53056154072834,85.3,144295.91983556014,37506.0,2.418196549672448,777
Lucas Local,Richland,129.3130369406828,88.5,141521.70019086773,41505.0,3.653661094162105,386
Fort Frye Local,Washington,129.23142202966886,91.0,137073.0499258527,35629.0,3.352923380008057,884
Eastern Local,Meigs,129.19561360652045,76.9,134537.23588039866,39238.0,1.9999990750098415,702
Hardin Northern Local,Hardin,128.85230003640717,88.5,236562.2464898596,41439.0,2.323667584890278,365
Madison Local,Butler,128.6801840913559,87.5,194260.78197768875,46918.5,2.656520334588322,1447
Southwest Local,Hamilton,128.50057746651456,89.8,203330.7813101218,47472.5,2.3962156116702977,4089
Clay Local,Scioto,128.1079189520631,81.9,128436.69557279782,38293.0,2.3295178976723743,597
Ottawa Hills Local,Lucas,127.97867849567099,108.3,288882.9827449546,80091.0,6.646744713144348,1030
Buckeye Central Local,Crawford,127.80260269914261,95.6,204729.54186413906,40486.0,3.8186654079326385,650
Carlisle Local,Warren,127.63481424271336,86.2,148364.68146344164,45184.0,2.851940748504763,1519
Jefferson Area Local,Ashtabula,127.58691194267797,84.4,183872.673992674,39828.0,2.367629040773254,1651
Ashland City,Ashland,127.53268841298579,92.1,162188.95653176526,37883.0,3.1937809339147276,2976
Wadsworth City,Medina,127.51966869865382,96.2,193413.24486078587,47363.0,3.4364110255817035,4205
Tuscarawas Valley Local,Tuscarawas,127.31124813589435,92.7,177715.515591008,44071.5,3.1349957818565297,1243
Shawnee Local,Allen,127.26778686442294,96.5,203360.14187467739,47930.0,3.270740364284426,2192
Johnstown-Monroe Local,Licking,127.14159555950444,95.2,360838.3415403869,53993.0,2.5842634557876587,1617
Hillsboro City,Highland,127.05668990893852,90.9,196207.7218999781,35262.5,2.2493356232055928,2193
St Clairsville-Richland City,Belmont,126.77157226454455,93.6,304444.7104482819,44841.0,2.4217599714956592,1594
Austintown Local Schools,Mahoning,126.24109334099391,88.1,142521.46216162815,37137.0,2.582171376527723,4117
Amherst Exempted Village,Lorain,126.09423923559969,92.5,199337.0785799421,46894.0,2.7780026196068106,3578
Washington-Nile Local,Scioto,125.94002511270584,76.3,102798.55527041155,35695.0,2.280564388552436,1127
Blanchester Local,Clinton,125.86574444349534,85.2,178187.47683250354,40442.0,2.3202200104422963,1094
Lincolnview Local,Van Wert,125.78292259192425,93.7,282697.1318786881,41775.0,2.525479501132346,809
Swanton Local,Fulton,125.72695264428437,89.4,191479.70822281166,43124.0,2.7054317161127486,1109
Greeneview Local,Greene,125.55164347708761,88.0,231929.37416003778,45304.0,2.2482829693960995,1232
Patrick Henry Local,Henry,125.3317982098476,94.4,242900.71801941525,41776.0,3.0393709320774045,815
Mariemont City,Hamilton,125.05599171109007,109.2,363019.54630853806,68762.0,5.11995763963255,1497
Elmwood Local,Wood,125.04288686818381,85.7,195995.74711003285,42953.5,2.724454974718078,1153
Little Miami Local,Warren,124.76752920834807,91.6,276132.637091711,60531.0,2.8426319247847585,5229
Big Walnut Local,Delaware,124.75706488368384,93.9,392207.7546882919,64559.0,2.6360971826672452,4101
Archbold-Area Local,Fulton,124.67336839848586,99.4,211074.06920549006,40966.5,3.95686800246259,1119
Cloverleaf Local,Medina,124.57283736647162,95.0,228726.0840042681,45695.5,2.9533408708625077,2261
Woodmore Local,Sandusky,124.22918460186571,88.3,203436.748064324,47932.0,2.984660347287536,948
Pickerington Local,Fairfield,124.16357368944205,90.1,217487.43600330307,53261.0,2.547179866326493,11222
Zane Trace Local,Ross,124.09887280235206,82.3,176346.46947189322,46541.0,2.4880405743442946,1162
Twinsburg City,Summit,124.07250962176322,96.6,269840.01024800166,54132.0,3.9838842795119187,3872
United Local,Columbiana,123.94079635113084,85.3,169124.21034803963,39128.0,2.487638320883876,989
Bethel-Tate Local,Clermont,123.87331795744281,91.4,176206.79856235936,41102.0,2.8612725985035925,1329
Western Brown Local,Brown,123.47702355527647,84.4,169072.87247970674,40424.0,2.217225042685837,2687
Lakota Local,Sandusky,123.44106891512132,84.3,216676.4700688681,41686.0,2.324484470081622,915
Allen East Local,Allen,122.92171445146263,87.5,193024.10864244925,45961.5,2.3768683856323745,1051
Berkshire Local,Geauga,122.85983439687539,85.9,218812.1665655408,41403.0,2.265333810060021,1290
North Union Local School District,Union,122.71988408895287,88.4,234985.7290589452,46395.0,2.5290939215370427,1385
Defiance City,Defiance,122.44513596825249,81.1,122950.2480837972,37143.0,2.8008097641510483,2335
Beavercreek City,Greene,122.24363163398839,97.1,263337.5929163221,61250.5,3.7502079122742975,7765
Bexley City,Franklin,122.10130748170019,100.5,414264.88188195636,80168.0,4.1409348250432725,2524
Columbia Local,Lorain,121.9924109056375,92.5,293669.80495257047,50403.0,2.934112051080786,996
Ontario Local,Richland,121.50294541196536,95.3,202966.89025758673,42507.5,3.6347406206432438,1900
New Lexington School District,Perry,121.05643716118635,79.4,132666.68948563962,37823.5,2.5044207985257017,1734
Greenfield Exempted Village,Highland,120.98163428668765,83.0,170556.75895765473,35458.0,2.23471864524953,1917
Olentangy Local,Delaware,120.97791642977609,103.1,369858.4593680858,82762.5,4.185191241182082,22979
Milton-Union Exempted Village,Miami,120.77743351549026,84.0,156343.603342481,41519.5,2.7766380054344806,1274
